Month,Rainfall
201901,5.213
201902,2.519
201903,32.573
201904,165.384
201905,28.108
201906,11.413
201907,1.295
201908,3.557
201909,9.548
201910,165.553
201911,160.971
201912,209.723
202001,146.002
202002,34.991
202003,162.417
202004,222.247
202005,33.633
202006,12.935
202007,1.348
202008,5.26
202009,36.275
202010,39.865
202011,75.628
202012,51.056
202101,36.123
202102,62.948
202103,34.909
202104,99.195
202105,107.612
202106,0.277
202107,2.738
202108,7.998
202109,3.631
202110,20.046
202111,89.219
202112,81.989
202201,60.988
202202,85.073
202203,51.008
202204,128.174
202205,65.126
202206,2.65
202207,10.257
202208,4.408
202209,3.428
202210,16.008
202211,184.872
202212,58.587
202301,17.3
202302,3
202303,111.9
202304,164
202305,25
202306,3.3
202307,0.8
202308,0.5
202309,34.2
202310,28.6
202311,361.2
202312,76.7
